category_id,name,last_update
1,Action,2006-02-15 04:46:27.0
2,Animation,2006-02-15 04:46:27.0
3,Children,2006-02-15 04:46:27.0
4,Classics,2006-02-15 04:46:27.0
5,Comedy,2006-02-15 04:46:27.0
6,Documentary,2006-02-15 04:46:27.0
7,Drama,2006-02-15 04:46:27.0
8,Family,2006-02-15 04:46:27.0
9,Foreign,2006-02-15 04:46:27.0
10,Games,2006-02-15 04:46:27.0
11,Horror,2006-02-15 04:46:27.0
12,Music,2006-02-15 04:46:27.0
13,New,2006-02-15 04:46:27.0
14,Sci-Fi,2006-02-15 04:46:27.0
15,Sports,2006-02-15 04:46:27.0
16,Travel,2006-02-15 04:46:27.0
