city_id,city,country_id,last_update
1,A Corua (La Corua),87,2006-02-15 04:45:25.0
2,Abha,82,2006-02-15 04:45:25.0
3,Abu Dhabi,101,2006-02-15 04:45:25.0
4,Acua,60,2006-02-15 04:45:25.0
5,Adana,97,2006-02-15 04:45:25.0
6,Addis Abeba,31,2006-02-15 04:45:25.0
7,Aden,107,2006-02-15 04:45:25.0
8,Adoni,44,2006-02-15 04:45:25.0
9,Ahmadnagar,44,2006-02-15 04:45:25.0
10,Akishima,50,2006-02-15 04:45:25.0
11,Akron,103,2006-02-15 04:45:25.0
12,al-Ayn,101,2006-02-15 04:45:25.0
13,al-Hawiya,82,2006-02-15 04:45:25.0
14,al-Manama,11,2006-02-15 04:45:25.0
15,al-Qadarif,89,2006-02-15 04:45:25.0
16,al-Qatif,82,2006-02-15 04:45:25.0
17,Alessandria,49,2006-02-15 04:45:25.0
18,Allappuzha (Alleppey),44,2006-02-15 04:45:25.0
19,Allende,60,2006-02-15 04:45:25.0
20,Almirante Brown,6,2006-02-15 04:45:25.0
21,Alvorada,15,2006-02-15 04:45:25.0
22,Ambattur,44,2006-02-15 04:45:25.0
23,Amersfoort,67,2006-02-15 04:45:25.0
24,Amroha,44,2006-02-15 04:45:25.0
25,Angra dos Reis,15,2006-02-15 04:45:25.0
26,Anpolis,15,2006-02-15 04:45:25.0
27,Antofagasta,22,2006-02-15 04:45:25.0
28,Aparecida de Goinia,15,2006-02-15 04:45:25.0
29,Apeldoorn,67,2006-02-15 04:45:25.0
30,Araatuba,15,2006-02-15 04:45:25.0
31,Arak,46,2006-02-15 04:45:25.0
32,Arecibo,77,2006-02-15 04:45:25.0
33,Arlington,103,2006-02-15 04:45:25.0
34,Ashdod,48,2006-02-15 04:45:25.0
35,Ashgabat,98,2006-02-15 04:45:25.0
36,Ashqelon,48,2006-02-15 04:45:25.0
37,Asuncin,73,2006-02-15 04:45:25.0
38,Athenai,39,2006-02-15 04:45:25.0
39,Atinsk,80,2006-02-15 04:45:25.0
40,Atlixco,60,2006-02-15 04:45:25.0
41,Augusta-Richmond County,103,2006-02-15 04:45:25.0
42,Aurora,103,2006-02-15 04:45:25.0
43,Avellaneda,6,2006-02-15 04:45:25.0
44,Bag,15,2006-02-15 04:45:25.0
45,Baha Blanca,6,2006-02-15 04:45:25.0
46,Baicheng,23,2006-02-15 04:45:25.0
47,Baiyin,23,2006-02-15 04:45:25.0
48,Baku,10,2006-02-15 04:45:25.0
49,Balaiha,80,2006-02-15 04:45:25.0
50,Balikesir,97,2006-02-15 04:45:25.0
51,Balurghat,44,2006-02-15 04:45:25.0
52,Bamenda,19,2006-02-15 04:45:25.0
53,Bandar Seri Begawan,16,2006-02-15 04:45:25.0
54,Banjul,37,2006-02-15 04:45:25.0
55,Barcelona,104,2006-02-15 04:45:25.0
56,Basel,91,2006-02-15 04:45:25.0
57,Bat Yam,48,2006-02-15 04:45:25.0
58,Batman,97,2006-02-15 04:45:25.0
59,Batna,2,2006-02-15 04:45:25.0
60,Battambang,18,2006-02-15 04:45:25.0
61,Baybay,75,2006-02-15 04:45:25.0
62,Bayugan,75,2006-02-15 04:45:25.0
63,Bchar,2,2006-02-15 04:45:25.0
64,Beira,63,2006-02-15 04:45:25.0
65,Bellevue,103,2006-02-15 04:45:25.0
66,Belm,15,2006-02-15 04:45:25.0
67,Benguela,4,2006-02-15 04:45:25.0
68,Beni-Mellal,62,2006-02-15 04:45:25.0
69,Benin City,69,2006-02-15 04:45:25.0
70,Bergamo,49,2006-02-15 04:45:25.0
71,Berhampore (Baharampur),44,2006-02-15 04:45:25.0
72,Bern,91,2006-02-15 04:45:25.0
73,Bhavnagar,44,2006-02-15 04:45:25.0
74,Bhilwara,44,2006-02-15 04:45:25.0
75,Bhimavaram,44,2006-02-15 04:45:25.0
76,Bhopal,44,2006-02-15 04:45:25.0
77,Bhusawal,44,2006-02-15 04:45:25.0
78,Bijapur,44,2006-02-15 04:45:25.0
79,Bilbays,29,2006-02-15 04:45:25.0
80,Binzhou,23,2006-02-15 04:45:25.0
81,Birgunj,66,2006-02-15 04:45:25.0
82,Bislig,75,2006-02-15 04:45:25.0
83,Blumenau,15,2006-02-15 04:45:25.0
84,Boa Vista,15,2006-02-15 04:45:25.0
85,Boksburg,85,2006-02-15 04:45:25.0
86,Botosani,78,2006-02-15 04:45:25.0
87,Botshabelo,85,2006-02-15 04:45:25.0
88,Bradford,102,2006-02-15 04:45:25.0
89,Braslia,15,2006-02-15 04:45:25.0
90,Bratislava,84,2006-02-15 04:45:25.0
91,Brescia,49,2006-02-15 04:45:25.0
92,Brest,34,2006-02-15 04:45:25.0
93,Brindisi,49,2006-02-15 04:45:25.0
94,Brockton,103,2006-02-15 04:45:25.0
95,Bucuresti,78,2006-02-15 04:45:25.0
96,Buenaventura,24,2006-02-15 04:45:25.0
97,Bydgoszcz,76,2006-02-15 04:45:25.0
98,Cabuyao,75,2006-02-15 04:45:25.0
99,Callao,74,2006-02-15 04:45:25.0
100,Cam Ranh,105,2006-02-15 04:45:25.0
101,Cape Coral,103,2006-02-15 04:45:25.0
102,Caracas,104,2006-02-15 04:45:25.0
103,Carmen,60,2006-02-15 04:45:25.0
104,Cavite,75,2006-02-15 04:45:25.0
105,Cayenne,35,2006-02-15 04:45:25.0
