inventory_id,film_id,store_id,last_update
1,1,1,2006-02-15 05:09:17.0
2,1,1,2006-02-15 05:09:17.0
3,1,1,2006-02-15 05:09:17.0
4,1,1,2006-02-15 05:09:17.0
5,1,2,2006-02-15 05:09:17.0
6,1,2,2006-02-15 05:09:17.0
7,1,2,2006-02-15 05:09:17.0
8,1,2,2006-02-15 05:09:17.0
9,2,2,2006-02-15 05:09:17.0
10,2,2,2006-02-15 05:09:17.0
11,2,2,2006-02-15 05:09:17.0
12,3,2,2006-02-15 05:09:17.0
13,3,2,2006-02-15 05:09:17.0
14,3,2,2006-02-15 05:09:17.0
15,3,2,2006-02-15 05:09:17.0
16,4,1,2006-02-15 05:09:17.0
17,4,1,2006-02-15 05:09:17.0
18,4,1,2006-02-15 05:09:17.0
19,4,1,2006-02-15 05:09:17.0
20,4,2,2006-02-15 05:09:17.0
21,4,2,2006-02-15 05:09:17.0
22,4,2,2006-02-15 05:09:17.0
23,5,2,2006-02-15 05:09:17.0
24,5,2,2006-02-15 05:09:17.0
25,5,2,2006-02-15 05:09:17.0
26,6,1,2006-02-15 05:09:17.0
27,6,1,2006-02-15 05:09:17.0
28,6,1,2006-02-15 05:09:17.0
29,6,2,2006-02-15 05:09:17.0
30,6,2,2006-02-15 05:09:17.0
31,6,2,2006-02-15 05:09:17.0
32,7,1,2006-02-15 05:09:17.0
33,7,1,2006-02-15 05:09:17.0
34,7,2,2006-02-15 05:09:17.0
35,7,2,2006-02-15 05:09:17.0
36,7,2,2006-02-15 05:09:17.0
37,8,2,2006-02-15 05:09:17.0
38,8,2,2006-02-15 05:09:17.0
39,8,2,2006-02-15 05:09:17.0
40,8,2,2006-02-15 05:09:17.0
41,9,1,2006-02-15 05:09:17.0
42,9,1,2006-02-15 05:09:17.0
43,9,1,2006-02-15 05:09:17.0
44,9,2,2006-02-15 05:09:17.0
45,9,2,2006-02-15 05:09:17.0
46,10,1,2006-02-15 05:09:17.0
47,10,1,2006-02-15 05:09:17.0
48,10,1,2006-02-15 05:09:17.0
49,10,1,2006-02-15 05:09:17.0
50,10,2,2006-02-15 05:09:17.0
51,10,2,2006-02-15 05:09:17.0
52,10,2,2006-02-15 05:09:17.0
53,11,1,2006-02-15 05:09:17.0
54,11,1,2006-02-15 05:09:17.0
55,11,1,2006-02-15 05:09:17.0
56,11,1,2006-02-15 05:09:17.0
57,11,2,2006-02-15 05:09:17.0
58,11,2,2006-02-15 05:09:17.0
59,11,2,2006-02-15 05:09:17.0
60,12,1,2006-02-15 05:09:17.0
61,12,1,2006-02-15 05:09:17.0
62,12,1,2006-02-15 05:09:17.0
63,12,2,2006-02-15 05:09:17.0
64,12,2,2006-02-15 05:09:17.0
65,12,2,2006-02-15 05:09:17.0
66,12,2,2006-02-15 05:09:17.0
67,13,2,2006-02-15 05:09:17.0
68,13,2,2006-02-15 05:09:17.0
69,13,2,2006-02-15 05:09:17.0
70,13,2,2006-02-15 05:09:17.0
71,15,1,2006-02-15 05:09:17.0
72,15,1,2006-02-15 05:09:17.0
73,15,2,2006-02-15 05:09:17.0
74,15,2,2006-02-15 05:09:17.0
75,15,2,2006-02-15 05:09:17.0
76,15,2,2006-02-15 05:09:17.0
77,16,1,2006-02-15 05:09:17.0
78,16,1,2006-02-15 05:09:17.0
79,16,2,2006-02-15 05:09:17.0
80,16,2,2006-02-15 05:09:17.0
81,17,1,2006-02-15 05:09:17.0
82,17,1,2006-02-15 05:09:17.0
83,17,1,2006-02-15 05:09:17.0
84,17,2,2006-02-15 05:09:17.0
85,17,2,2006-02-15 05:09:17.0
86,17,2,2006-02-15 05:09:17.0
87,18,1,2006-02-15 05:09:17.0
88,18,1,2006-02-15 05:09:17.0
89,18,1,2006-02-15 05:09:17.0
90,18,2,2006-02-15 05:09:17.0
91,18,2,2006-02-15 05:09:17.0
92,18,2,2006-02-15 05:09:17.0
93,19,1,2006-02-15 05:09:17.0
94,19,1,2006-02-15 05:09:17.0
95,19,1,2006-02-15 05:09:17.0
96,19,1,2006-02-15 05:09:17.0
97,19,2,2006-02-15 05:09:17.0
98,19,2,2006-02-15 05:09:17.0
99,20,1,2006-02-15 05:09:17.0
100,20,1,2006-02-15 05:09:17.0
101,20,1,2006-02-15 05:09:17.0
102,21,1,2006-02-15 05:09:17.0
103,21,1,2006-02-15 05:09:17.0
104,21,2,2006-02-15 05:09:17.0
105,21,2,2006-02-15 05:09:17.0
106,21,2,2006-02-15 05:09:17.0
107,21,2,2006-02-15 05:09:17.0
108,22,1,2006-02-15 05:09:17.0
109,22,1,2006-02-15 05:09:17.0
110,22,1,2006-02-15 05:09:17.0
111,22,1,2006-02-15 05:09:17.0
112,22,2,2006-02-15 05:09:17.0
113,22,2,2006-02-15 05:09:17.0
114,22,2,2006-02-15 05:09:17.0
115,23,1,2006-02-15 05:09:17.0
116,23,1,2006-02-15 05:09:17.0
117,23,1,2006-02-15 05:09:17.0
118,23,2,2006-02-15 05:09:17.0
119,23,2,2006-02-15 05:09:17.0
120,24,1,2006-02-15 05:09:17.0
121,24,1,2006-02-15 05:09:17.0
122,24,1,2006-02-15 05:09:17.0
123,24,1,2006-02-15 05:09:17.0
124,25,1,2006-02-15 05:09:17.0
125,25,1,2006-02-15 05:09:17.0
126,25,1,2006-02-15 05:09:17.0
127,25,1,2006-02-15 05:09:17.0
128,25,2,2006-02-15 05:09:17.0
129,25,2,2006-02-15 05:09:17.0
130,26,1,2006-02-15 05:09:17.0
131,26,1,2006-02-15 05:09:17.0
132,26,2,2006-02-15 05:09:17.0
133,26,2,2006-02-15 05:09:17.0
134,26,2,2006-02-15 05:09:17.0
135,27,1,2006-02-15 05:09:17.0
136,27,1,2006-02-15 05:09:17.0
137,27,1,2006-02-15 05:09:17.0
138,27,1,2006-02-15 05:09:17.0
139,28,1,2006-02-15 05:09:17.0
140,28,1,2006-02-15 05:09:17.0
141,28,1,2006-02-15 05:09:17.0
142,29,1,2006-02-15 05:09:17.0
143,29,1,2006-02-15 05:09:17.0
144,30,1,2006-02-15 05:09:17.0
145,30,1,2006-02-15 05:09:17.0
146,31,1,2006-02-15 05:09:17.0
147,31,1,2006-02-15 05:09:17.0
148,31,1,2006-02-15 05:09:17.0
149,31,1,2006-02-15 05:09:17.0
150,31,2,2006-02-15 05:09:17.0
151,31,2,2006-02-15 05:09:17.0
152,31,2,2006-02-15 05:09:17.0
153,31,2,2006-02-15 05:09:17.0
154,32,2,2006-02-15 05:09:17.0
155,32,2,2006-02-15 05:09:17.0
156,34,2,2006-02-15 05:09:17.0
157,34,2,2006-02-15 05:09:17.0
158,34,2,2006-02-15 05:09:17.0
159,34,2,2006-02-15 05:09:17.0
160,35,1,2006-02-15 05:09:17.0
161,35,1,2006-02-15 05:09:17.0
162,35,1,2006-02-15 05:09:17.0
163,35,1,2006-02-15 05:09:17.0
164,35,2,2006-02-15 05:09:17.0
165,35,2,2006-02-15 05:09:17.0
166,35,2,2006-02-15 05:09:17.0
167,37,1,2006-02-15 05:09:17.0
168,37,1,2006-02-15 05:09:17.0
169,37,1,2006-02-15 05:09:17.0
170,37,1,2006-02-15 05:09:17.0
171,37,2,2006-02-15 05:09:17.0
172,37,2,2006-02-15 05:09:17.0
173,37,2,2006-02-15 05:09:17.0
174,39,1,2006-02-15 05:09:17.0
175,39,1,2006-02-15 05:09:17.0
176,39,1,2006-02-15 05:09:17.0
177,39,2,2006-02-15 05:09:17.0
178,39,2,2006-02-15 05:09:17.0
179,39,2,2006-02-15 05:09:17.0
180,39,2,2006-02-15 05:09:17.0
181,40,2,2006-02-15 05:09:17.0
182,40,2,2006-02-15 05:09:17.0
183,40,2,2006-02-15 05:09:17.0
184,40,2,2006-02-15 05:09:17.0
185,42,2,2006-02-15 05:09:17.0
186,42,2,2006-02-15 05:09:17.0
187,42,2,2006-02-15 05:09:17.0
188,42,2,2006-02-15 05:09:17.0
189,43,1,2006-02-15 05:09:17.0
190,43,1,2006-02-15 05:09:17.0
191,43,1,2006-02-15 05:09:17.0
192,43,2,2006-02-15 05:09:17.0
193,43,2,2006-02-15 05:09:17.0
194,43,2,2006-02-15 05:09:17.0
195,43,2,2006-02-15 05:09:17.0
196,44,1,2006-02-15 05:09:17.0
197,44,1,2006-02-15 05:09:17.0
198,44,2,2006-02-15 05:09:17.0
199,44,2,2006-02-15 05:09:17.0
200,44,2,2006-02-15 05:09:17.0
201,45,1,2006-02-15 05:09:17.0
202,45,1,2006-02-15 05:09:17.0
203,45,1,2006-02-15 05:09:17.0
204,45,1,2006-02-15 05:09:17.0
205,45,2,2006-02-15 05:09:17.0
206,45,2,2006-02-15 05:09:17.0
207,46,2,2006-02-15 05:09:17.0
208,46,2,2006-02-15 05:09:17.0
209,46,2,2006-02-15 05:09:17.0
210,47,2,2006-02-15 05:09:17.0
211,47,2,2006-02-15 05:09:17.0
212,48,1,2006-02-15 05:09:17.0
213,48,1,2006-02-15 05:09:17.0
214,48,2,2006-02-15 05:09:17.0
215,48,2,2006-02-15 05:09:17.0
216,49,1,2006-02-15 05:09:17.0
217,49,1,2006-02-15 05:09:17.0
218,49,1,2006-02-15 05:09:17.0
219,49,2,2006-02-15 05:09:17.0
220,49,2,2006-02-15 05:09:17.0
221,49,2,2006-02-15 05:09:17.0
222,50,1,2006-02-15 05:09:17.0
223,50,1,2006-02-15 05:09:17.0
224,50,1,2006-02-15 05:09:17.0
225,50,2,2006-02-15 05:09:17.0
226,50,2,2006-02-15 05:09:17.0
227,51,1,2006-02-15 05:09:17.0
228,51,1,2006-02-15 05:09:17.0
229,51,2,2006-02-15 05:09:17.0
230,51,2,2006-02-15 05:09:17.0
231,51,2,2006-02-15 05:09:17.0
232,51,2,2006-02-15 05:09:17.0
233,52,2,2006-02-15 05:09:17.0
234,52,2,2006-02-15 05:09:17.0
235,53,1,2006-02-15 05:09:17.0
236,53,1,2006-02-15 05:09:17.0
237,54,1,2006-02-15 05:09:17.0
238,54,1,2006-02-15 05:09:17.0
239,54,1,2006-02-15 05:09:17.0
240,54,2,2006-02-15 05:09:17.0
241,54,2,2006-02-15 05:09:17.0
242,55,1,2006-02-15 05:09:17.0
243,55,1,2006-02-15 05:09:17.0
244,55,1,2006-02-15 05:09:17.0
245,55,1,2006-02-15 05:09:17.0
246,55,2,2006-02-15 05:09:17.0
247,55,2,2006-02-15 05:09:17.0
248,56,1,2006-02-15 05:09:17.0
249,56,1,2006-02-15 05:09:17.0
250,56,1,2006-02-15 05:09:17.0
251,56,2,2006-02-15 05:09:17.0
252,56,2,2006-02-15 05:09:17.0
253,57,1,2006-02-15 05:09:17.0
254,57,1,2006-02-15 05:09:17.0
255,57,1,2006-02-15 05:09:17.0
256,57,1,2006-02-15 05:09:17.0
257,57,2,2006-02-15 05:09:17.0
258,57,2,2006-02-15 05:09:17.0
259,57,2,2006-02-15 05:09:17.0
260,58,2,2006-02-15 05:09:17.0
261,58,2,2006-02-15 05:09:17.0
262,58,2,2006-02-15 05:09:17.0
263,58,2,2006-02-15 05:09:17.0
264,59,1,2006-02-15 05:09:17.0
265,59,1,2006-02-15 05:09:17.0
266,59,1,2006-02-15 05:09:17.0
267,59,2,2006-02-15 05:09:17.0
268,59,2,2006-02-15 05:09:17.0
269,60,1,2006-02-15 05:09:17.0
270,60,1,2006-02-15 05:09:17.0
271,60,1,2006-02-15 05:09:17.0
272,61,1,2006-02-15 05:09:17.0
273,61,1,2006-02-15 05:09:17.0
274,61,1,2006-02-15 05:09:17.0
275,61,1,2006-02-15 05:09:17.0
276,61,2,2006-02-15 05:09:17.0
277,61,2,2006-02-15 05:09:17.0
278,62,2,2006-02-15 05:09:17.0
279,62,2,2006-02-15 05:09:17.0
280,63,1,2006-02-15 05:09:17.0
281,63,1,2006-02-15 05:09:17.0
282,63,2,2006-02-15 05:09:17.0
283,63,2,2006-02-15 05:09:17.0
284,64,2,2006-02-15 05:09:17.0
285,64,2,2006-02-15 05:09:17.0
286,64,2,2006-02-15 05:09:17.0
287,65,2,2006-02-15 05:09:17.0
288,65,2,2006-02-15 05:09:17.0
289,65,2,2006-02-15 05:09:17.0
290,65,2,2006-02-15 05:09:17.0
291,66,1,2006-02-15 05:09:17.0
292,66,1,2006-02-15 05:09:17.0
293,66,1,2006-02-15 05:09:17.0
294,67,1,2006-02-15 05:09:17.0
295,67,1,2006-02-15 05:09:17.0
296,67,2,2006-02-15 05:09:17.0
297,67,2,2006-02-15 05:09:17.0
298,67,2,2006-02-15 05:09:17.0
299,67,2,2006-02-15 05:09:17.0
300,68,1,2006-02-15 05:09:17.0
301,68,1,2006-02-15 05:09:17.0
302,68,2,2006-02-15 05:09:17.0
303,68,2,2006-02-15 05:09:17.0
304,69,1,2006-02-15 05:09:17.0
305,69,1,2006-02-15 05:09:17.0
306,69,1,2006-02-15 05:09:17.0
307,69,1,2006-02-15 05:09:17.0
308,69,2,2006-02-15 05:09:17.0
309,69,2,2006-02-15 05:09:17.0
310,69,2,2006-02-15 05:09:17.0
311,69,2,2006-02-15 05:09:17.0
312,70,1,2006-02-15 05:09:17.0
313,70,1,2006-02-15 05:09:17.0
314,70,2,2006-02-15 05:09:17.0
315,70,2,2006-02-15 05:09:17.0
316,71,2,2006-02-15 05:09:17.0
317,71,2,2006-02-15 05:09:17.0
318,71,2,2006-02-15 05:09:17.0
319,71,2,2006-02-15 05:09:17.0
320,72,1,2006-02-15 05:09:17.0
321,72,1,2006-02-15 05:09:17.0
322,72,1,2006-02-15 05:09:17.0
323,72,1,2006-02-15 05:09:17.0
324,72,2,2006-02-15 05:09:17.0
325,72,2,2006-02-15 05:09:17.0
326,73,1,2006-02-15 05:09:17.0
327,73,1,2006-02-15 05:09:17.0
328,73,1,2006-02-15 05:09:17.0
329,73,1,2006-02-15 05:09:17.0
330,73,2,2006-02-15 05:09:17.0
331,73,2,2006-02-15 05:09:17.0
332,73,2,2006-02-15 05:09:17.0
333,73,2,2006-02-15 05:09:17.0
334,74,1,2006-02-15 05:09:17.0
335,74,1,2006-02-15 05:09:17.0
336,74,1,2006-02-15 05:09:17.0
337,74,2,2006-02-15 05:09:17.0
338,74,2,2006-02-15 05:09:17.0
339,75,2,2006-02-15 05:09:17.0
340,75,2,2006-02-15 05:09:17.0
341,75,2,2006-02-15 05:09:17.0
342,76,1,2006-02-15 05:09:17.0
343,76,1,2006-02-15 05:09:17.0
344,76,1,2006-02-15 05:09:17.0
345,77,1,2006-02-15 05:09:17.0
346,77,1,2006-02-15 05:09:17.0
347,77,1,2006-02-15 05:09:17.0
348,77,1,2006-02-15 05:09:17.0
349,77,2,2006-02-15 05:09:17.0
350,77,2,2006-02-15 05:09:17.0
351,78,1,2006-02-15 05:09:17.0
352,78,1,2006-02-15 05:09:17.0
353,78,1,2006-02-15 05:09:17.0
354,78,2,2006-02-15 05:09:17.0
355,78,2,2006-02-15 05:09:17.0
356,78,2,2006-02-15 05:09:17.0
357,78,2,2006-02-15 05:09:17.0
358,79,1,2006-02-15 05:09:17.0
359,79,1,2006-02-15 05:09:17.0
360,79,1,2006-02-15 05:09:17.0
361,79,2,2006-02-15 05:09:17.0
362,79,2,2006-02-15 05:09:17.0
363,79,2,2006-02-15 05:09:17.0
364,80,1,2006-02-15 05:09:17.0
365,80,1,2006-02-15 05:09:17.0
366,80,1,2006-02-15 05:09:17.0
367,80,1,2006-02-15 05:09:17.0
368,81,1,2006-02-15 05:09:17.0
369,81,1,2006-02-15 05:09:17.0
370,81,1,2006-02-15 05:09:17.0
371,81,1,2006-02-15 05:09:17.0
372,82,1,2006-02-15 05:09:17.0
373,82,1,2006-02-15 05:09:17.0
374,83,1,2006-02-15 05:09:17.0
375,83,1,2006-02-15 05:09:17.0
376,83,1,2006-02-15 05:09:17.0
377,83,2,2006-02-15 05:09:17.0
378,83,2,2006-02-15 05:09:17.0
379,84,1,2006-02-15 05:09:17.0
380,84,1,2006-02-15 05:09:17.0
381,84,1,2006-02-15 05:09:17.0
382,84,1,2006-02-15 05:09:17.0
383,85,2,2006-02-15 05:09:17.0
384,85,2,2006-02-15 05:09:17.0
385,85,2,2006-02-15 05:09:17.0
386,85,2,2006-02-15 05:09:17.0
387,86,1,2006-02-15 05:09:17.0
388,86,1,2006-02-15 05:09:17.0
389,86,1,2006-02-15 05:09:17.0
390,86,1,2006-02-15 05:09:17.0
391,86,2,2006-02-15 05:09:17.0
392,86,2,2006-02-15 05:09:17.0
393,86,2,2006-02-15 05:09:17.0
394,86,2,2006-02-15 05:09:17.0
395,88,2,2006-02-15 05:09:17.0
396,88,2,2006-02-15 05:09:17.0
397,88,2,2006-02-15 05:09:17.0
398,88,2,2006-02-15 05:09:17.0
399,89,1,2006-02-15 05:09:17.0
400,89,1,2006-02-15 05:09:17.0
401,89,1,2006-02-15 05:09:17.0
402,89,2,2006-02-15 05:09:17.0
403,89,2,2006-02-15 05:09:17.0
404,89,2,2006-02-15 05:09:17.0
405,90,1,2006-02-15 05:09:17.0
406,90,1,2006-02-15 05:09:17.0
407,90,1,2006-02-15 05:09:17.0
408,90,2,2006-02-15 05:09:17.0
409,90,2,2006-02-15 05:09:17.0
410,90,2,2006-02-15 05:09:17.0
411,91,1,2006-02-15 05:09:17.0
412,91,1,2006-02-15 05:09:17.0
413,91,1,2006-02-15 05:09:17.0
414,91,1,2006-02-15 05:09:17.0
415,91,2,2006-02-15 05:09:17.0
416,91,2,2006-02-15 05:09:17.0
417,91,2,2006-02-15 05:09:17.0
418,91,2,2006-02-15 05:09:17.0
419,92,1,2006-02-15 05:09:17.0
420,92,1,2006-02-15 05:09:17.0
421,92,2,2006-02-15 05:09:17.0
422,92,2,2006-02-15 05:09:17.0
423,93,2,2006-02-15 05:09:17.0
424,93,2,2006-02-15 05:09:17.0
425,93,2,2006-02-15 05:09:17.0
426,94,1,2006-02-15 05:09:17.0
427,94,1,2006-02-15 05:09:17.0
428,95,1,2006-02-15 05:09:17.0
429,95,1,2006-02-15 05:09:17.0
430,95,2,2006-02-15 05:09:17.0
431,95,2,2006-02-15 05:09:17.0
432,95,2,2006-02-15 05:09:17.0
433,96,1,2006-02-15 05:09:17.0
434,96,1,2006-02-15 05:09:17.0
435,96,1,2006-02-15 05:09:17.0
436,97,1,2006-02-15 05:09:17.0
437,97,1,2006-02-15 05:09:17.0
438,97,1,2006-02-15 05:09:17.0
439,97,1,2006-02-15 05:09:17.0
440,97,2,2006-02-15 05:09:17.0
441,97,2,2006-02-15 05:09:17.0
442,98,1,2006-02-15 05:09:17.0
443,98,1,2006-02-15 05:09:17.0
444,98,1,2006-02-15 05:09:17.0
445,99,1,2006-02-15 05:09:17.0
446,99,1,2006-02-15 05:09:17.0
447,99,1,2006-02-15 05:09:17.0
448,99,2,2006-02-15 05:09:17.0
449,99,2,2006-02-15 05:09:17.0
450,99,2,2006-02-15 05:09:17.0
451,100,1,2006-02-15 05:09:17.0
452,100,1,2006-02-15 05:09:17.0
453,100,1,2006-02-15 05:09:17.0
454,100,1,2006-02-15 05:09:17.0
455,100,2,2006-02-15 05:09:17.0
456,100,2,2006-02-15 05:09:17.0
457,101,1,2006-02-15 05:09:17.0
458,101,1,2006-02-15 05:09:17.0
